Day,Date,Low,High,PercentSun,AvgTemp,DegDay
1,1/1/16,29,39,0.41,33.1,26.9
2,1/2/16,28,36,0.41,31.28,28.72
3,1/3/16,27,40,0.41,32.33,27.67
4,1/4/16,12,28,0.41,18.56,41.44
5,1/5/16,2,24,0.41,11.02,48.98
6,1/6/16,5,41,0.41,19.76,40.24
7,1/7/16,14,41,0.41,25.07,34.93
8,1/8/16,20,37,0.41,26.97,33.03
9,1/9/16,31,36,0.41,33.05,26.95
10,1/10/16,33,52,0.42,40.98,19.02
11,1/11/16,23,44,0.42,31.82,28.18
12,1/12/16,16,32,0.42,22.72,37.28
13,1/13/16,18,27,0.42,21.78,38.22
14,1/14/16,13,28,0.42,19.3,40.7
15,1/15/16,11,31,0.42,19.4,40.6
16,1/16/16,28,33,0.42,30.1,29.9
17,1/17/16,27,34,0.42,29.94,30.06
18,1/18/16,15,26,0.42,19.62,40.38
19,1/19/16,13,21,0.42,16.36,43.64
20,1/20/16,18,28,0.42,22.2,37.8
21,1/21/16,17,27,0.42,21.2,38.8
22,1/22/16,13,30,0.42,20.14,39.86
23,1/23/16,12,22,0.42,16.2,43.8
24,1/24/16,17,36,0.42,24.98,35.02
25,1/25/16,18,35,0.42,25.14,34.86
26,1/26/16,20,48,0.42,31.76,28.24
27,1/27/16,27,44,0.43,34.31,25.69
28,1/28/16,17,39,0.43,26.46,33.54
29,1/29/16,27,37,0.43,31.3,28.7
30,1/30/16,30,38,0.43,33.44,26.56
31,1/31/16,32,51,0.43,40.17,19.83
32,2/1/16,34,60,0.43,45.18,14.82
33,2/2/16,29,46,0.43,36.31,23.69
34,2/3/16,29,57,0.43,41.04,18.96
35,2/4/16,41,57,0.43,47.88,12.12
36,2/5/16,22,40,0.43,29.74,30.26
37,2/6/16,15,34,0.43,23.17,36.83
38,2/7/16,21,42,0.43,30.03,29.97
39,2/8/16,17,32,0.43,23.45,36.55
40,2/9/16,15,27,0.43,20.16,39.84
41,2/10/16,14,33,0.43,22.17,37.83
42,2/11/16,9,27,0.43,16.74,43.26
43,2/12/16,0,22,0.43,9.46,50.54
44,2/13/16,-11,20,0.43,2.33,57.67
45,2/14/16,-12,8,0.43,-3.4,63.4
46,2/15/16,-9,19,0.43,3.04,56.96
47,2/16/16,18,50,0.43,31.76,28.24
48,2/17/16,27,41,0.43,33.02,26.98
49,2/18/16,21,34,0.43,26.59,33.41
50,2/19/16,12,37,0.43,22.75,37.25
51,2/20/16,29,57,0.43,41.04,18.96
52,2/21/16,35,49,0.43,41.02,18.98
53,2/22/16,23,39,0.43,29.88,30.12
54,2/23/16,18,34,0.43,24.88,35.12
55,2/24/16,30,35,0.43,32.15,27.85
56,2/25/16,35,60,0.43,45.75,14.25
57,2/26/16,21,40,0.43,29.17,30.83
58,2/27/16,16,36,0.43,24.6,35.4
59,2/28/16,33,55,0.43,42.46,17.54
60,2/29/16,29,58,0.43,41.47,18.53
61,3/1/16,26,44,0.46,34.28,25.72
62,3/2/16,20,49,0.46,33.34,26.66
63,3/3/16,15,28,0.46,20.98,39.02
64,3/4/16,15,28,0.46,20.98,39.02
65,3/5/16,18,36,0.46,26.28,33.72
66,3/6/16,23,39,0.46,30.36,29.64
67,3/7/16,20,41,0.46,29.66,30.34
68,3/8/16,26,48,0.46,36.12,23.88
69,3/9/16,32,76,0.46,52.24,7.76
70,3/10/16,43,62,0.46,51.74,8.26
71,3/11/16,35,54,0.46,43.74,16.26
72,3/12/16,28,59,0.46,42.26,17.74
73,3/13/16,43,61,0.46,51.28,8.72
74,3/14/16,32,43,0.46,37.06,22.94
75,3/15/16,38,43,0.46,40.3,19.7
76,3/16/16,40,57,0.5,48.5,11.5
77,3/17/16,42,60,0.5,51,9
78,3/18/16,32,49,0.5,40.5,19.5
79,3/19/16,25,40,0.5,32.5,27.5
80,3/20/16,18,34,0.5,26,34
81,3/21/16,27,41,0.5,34,26
82,3/22/16,28,47,0.5,37.5,22.5
83,3/23/16,33,60,0.5,46.5,13.5
84,3/24/16,32,41,0.5,36.5,23.5
85,3/25/16,28,39,0.5,33.5,26.5
86,3/26/16,30,45,0.5,37.5,22.5
87,3/27/16,29,44,0.5,36.5,23.5
88,3/28/16,29,41,0.5,35,25
89,3/29/16,37,44,0.5,40.5,19.5
90,3/30/16,26,57,0.5,41.5,18.5
91,3/31/16,41,65,0.5,53,7
92,4/1/16,55,72,0.51,63.67,-3.67
93,4/2/16,39,51,0.51,45.12,14.88
94,4/3/16,25,38,0.51,31.63,28.37
95,4/4/16,19,24,0.51,21.55,38.45
96,4/5/16,16,36,0.51,26.2,33.8
97,4/6/16,18,39,0.51,28.71,31.29
98,4/7/16,36,51,0.51,43.65,16.35
99,4/8/16,35,51,0.51,43.16,16.84
100,4/9/16,28,47,0.51,37.69,22.31
101,4/10/16,28,45,0.51,36.67,23.33
102,4/11/16,31,58,0.51,44.77,15.23
103,4/12/16,36,56,0.51,46.2,13.8
104,4/13/16,30,50,0.51,40.2,19.8
105,4/14/16,31,54,0.51,42.73,17.27
106,4/15/16,30,58,0.51,44.28,15.72
107,4/16/16,34,59,0.53,47.25,12.75
108,4/17/16,30,65,0.53,48.55,11.45
109,4/18/16,34,63,0.53,49.37,10.63
110,4/19/16,42,58,0.53,50.48,9.52
111,4/20/16,37,58,0.53,48.13,11.87
112,4/21/16,30,76,0.53,54.38,5.62
113,4/22/16,47,71,0.53,59.72,0.28
114,4/23/16,45,62,0.53,54.01,5.99
115,4/24/16,32,56,0.53,44.72,15.28
116,4/25/16,27,60,0.53,44.49,15.51
